Id,Sales
1,4086.591
2,7570.6724
3,8838.129
4,7694.4575
5,7361.937
6,5680.48
7,7455.8374
8,7801.1797
9,5178.3613
10,5732.581
11,6750.266
12,8142.641
13,7194.854
14,8784.754
15,5884.03
16,4732.454
17,5612.597
18,9478.401
19,10651.824
20,10052.759
21,7878.009
22,4645.02
23,5512.7637
24,4157.0557
25,7667.3364
26,10999.271
27,9241.493
28,5730.87
29,4971.401
30,4467.107
31,5939.5894
32,10347.593
33,6423.8145
34,5326.6714
35,5442.081
36,7650.8193
37,3553.7036
38,7491.2646
39,4271.0615
40,7140.245
41,6892.154
42,5311.4
43,7812.364
44,6828.8774
45,4927.4336
46,6789.5063
47,7163.506
48,11845.853
49,5795.245
50,8219.154
51,6567.367
52,8872.521
53,6446.673
54,9483.104
55,4706.474
56,4962.3994
57,6113.2354
58,5756.8115
59,9207.901
60,7863.1
61,5453.5073
62,7570.6074
63,6535.928
64,10319.198
65,3803.1113
66,12976.885
67,4870.801
68,6066.424
69,8339.538
70,4773.2744
71,6378.98
72,6231.616
73,7461.92
74,5705.606
75,5901.7695
76,7677.2886
77,7513.333
78,7053.339
79,5117.986
80,7099.621
81,11453.66
82,6357.041
83,4200.251
84,6789.5586
85,5805.6797
86,5730.4106
87,7430.3867
88,3896.663
89,7848.632
90,5850.4966
91,7124.163
92,6693.5254
93,4030.5789
94,6065.7236
95,5158.799
96,7963.201
97,8793.749
98,4975.614
99,4940.0083
100,7139.8496
101,5793.587
102,6303.394
103,7457.9214
104,6471.599
105,7515.827
106,5670.552
107,4322.1567
108,6809.67
109,8134.7305
110,7951.4297
111,8348.269
112,7893.495
113,5577.0073
114,8644.883
115,5606.786
116,7183.156
117,9158.825
118,6500.6143
119,10049.825
120,7632.0083
121,7503.6504
122,5888.443
123,7143.2896
124,7876.416
125,6374.1387
126,3727.4102
127,5424.781
128,7703.1226
129,5608.3105
130,4198.9297
131,8567.927
132,6427.8965
133,5581.7817
134,5854.074
135,5289.0093
136,7318.44
137,7065.4253
138,6884.1714
139,5565.2373
140,5480.6816
141,6396.289
142,3786.456
143,5894.6865
144,5159.9507
145,8582.96
146,7280.7666
147,6005.3003
148,11872.263
149,5020.8584
150,5152.121
151,10519.695
152,6623.2285
153,8582.215
154,7279.26
155,5643.125
